qid,question_text,mrr,precision_at_5,recall_at_5,ndcg,composite_score,1_scientific_consensus,2_inappropriate_content,3_missing_content,4_extent_harm,5_likelihood_harm,6_bias,7_empathy,8_grammaticality
0000203-1,What is (are) Kidney Stones in Adults ?,0.5,0.2,1.0,0.6309297535714575,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000203-3,Who is at risk for Kidney Stones in Adults? ?,0.25,0.2,1.0,0.43067655807339306,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000203-4,What causes Kidney Stones in Adults ?,1.0,0.2,1.0,1.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000203-7,What are the symptoms of Kidney Stones in Adults ?,1.0,0.2,1.0,1.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000203-8,How to diagnose Kidney Stones in Adults ?,0.3333333333333333,0.2,1.0,0.5,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000203-9,What are the treatments for Kidney Stones in Adults ?,0.3333333333333333,0.2,1.0,0.5,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000203-11,What to do for Kidney Stones in Adults ?,0.5,0.2,1.0,0.6309297535714575,7.857142857142857,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,1.0
0000217-1,What is (are) Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000217-2,Who is at risk for Vesicoureteral Reflux? ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-4,What are the symptoms of Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-5,What are the complications of Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-6,How to diagnose Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-8,What are the treatments for Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-10,What to do for Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000001-1,What is (are) Acromegaly ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000001-2,What are the symptoms of Acromegaly ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000001-4,How many people are affected by Acromegaly ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000001-5,How to diagnose Acromegaly ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000001-9,What to do for Acromegaly ?,0.25,0.2,1.0,0.43067655807339306,3.5714285714285716,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0
0000015-1,What is (are) Prolactinoma ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000015-3,How many people are affected by Prolactinoma ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000015-4,What are the symptoms of Prolactinoma ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000015-5,What causes Prolactinoma ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000015-7,How to diagnose Prolactinoma ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000015-11,Who is at risk for Prolactinoma? ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000149-1,What is (are) Henoch-Schnlein Purpura ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000149-2,What causes Henoch-Schnlein Purpura ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000149-3,What are the symptoms of Henoch-Schnlein Purpura ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000149-4,What are the complications of Henoch-Schnlein Purpura ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000149-5,How to diagnose Henoch-Schnlein Purpura ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000149-6,What are the treatments for Henoch-Schnlein Purpura ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000149-7,What to do for Henoch-Schnlein Purpura ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000161-1,What is (are) Nephrotic Syndrome in Adults ?,1.0,1.0,1.0,2.9484591188793923,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000161-2,What causes Nephrotic Syndrome in Adults ?,1.0,1.0,1.0,2.9484591188793923,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000161-3,What are the symptoms of Nephrotic Syndrome in Adults ?,1.0,1.0,1.0,2.9484591188793923,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000161-4,What are the complications of Nephrotic Syndrome in Adults ?,1.0,0.8,1.0,2.5616063116448506,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000161-5,How to diagnose Nephrotic Syndrome in Adults ?,1.0,0.8,1.0,2.5616063116448506,9.285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0
0000161-6,What are the treatments for Nephrotic Syndrome in Adults ?,0.3333333333333333,0.6,1.0,1.3175293653079347,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000161-7,What to do for Nephrotic Syndrome in Adults ?,1.0,0.6,1.0,2.0616063116448506,9.285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0
0000160-1,What is (are) Medullary Sponge Kidney ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000160-2,What are the complications of Medullary Sponge Kidney ?,0.0,0.0,0.0,0.0,7.142857142857143,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0
0000160-3,What causes Medullary Sponge Kidney ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000160-4,How many people are affected by Medullary Sponge Kidney ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000160-6,What are the symptoms of Medullary Sponge Kidney ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000160-7,How to diagnose Medullary Sponge Kidney ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000160-8,What are the treatments for Medullary Sponge Kidney ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000160-9,How to prevent Medullary Sponge Kidney ?,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0
0000160-11,What to do for Medullary Sponge Kidney ?,0.0,0.0,0.0,0.0,9.285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0
0000174-1,What is (are) Treatment Methods for Kidney Failure: Peritoneal Dialysis ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000174-8,What are the treatments for Treatment Methods for Kidney Failure: Peritoneal Dialysis ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000148-1,What is (are) Hemolytic Uremic Syndrome in Children ?,0.0,0.0,0.0,0.0,9.285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0000148-3,What causes Hemolytic Uremic Syndrome in Children ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000148-5,What are the symptoms of Hemolytic Uremic Syndrome in Children ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000148-7,How to diagnose Hemolytic Uremic Syndrome in Children ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000148-8,What are the complications of Hemolytic Uremic Syndrome in Children ?,0.0,0.0,0.0,0.0,7.142857142857143,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0
0000148-9,What are the treatments for Hemolytic Uremic Syndrome in Children ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000148-10,How to prevent Hemolytic Uremic Syndrome in Children ?,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0
0000148-11,What to do for Hemolytic Uremic Syndrome in Children ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000014-1,What is (are) Primary Hyperparathyroidism ?,1.0,1.0,1.0,2.9484591188793923,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000014-5,What causes Primary Hyperparathyroidism ?,1.0,1.0,1.0,2.9484591188793923,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000014-6,What are the symptoms of Primary Hyperparathyroidism ?,1.0,1.0,1.0,2.9484591188793923,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000014-7,How to diagnose Primary Hyperparathyroidism ?,1.0,1.0,1.0,2.9484591188793923,9.285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0
0000014-11,What to do for Primary Hyperparathyroidism ?,1.0,1.0,1.0,2.9484591188793923,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000216-1,What is (are) Urine Blockage in Newborns ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000216-2,What causes Urine Blockage in Newborns ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000216-3,What are the symptoms of Urine Blockage in Newborns ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000216-4,What are the complications of Urine Blockage in Newborns ?,0.0,0.0,0.0,0.0,7.142857142857143,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0
0000216-6,What are the treatments for Urine Blockage in Newborns ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000216-7,What to do for Urine Blockage in Newborns ?,0.0,0.0,0.0,0.0,7.857142857142857,1.0,0.0,-1.0,-1.0,-1.0,0.0,2.0,1.0
0000214-1,What is (are) Urinary Tract Infection In Adults ?,1.0,0.8,1.0,2.5616063116448506,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000214-3,What causes Urinary Tract Infection In Adults ?,1.0,0.8,1.0,2.3175293653079345,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000214-4,How many people are affected by Urinary Tract Infection In Adults ?,1.0,0.8,1.0,2.5616063116448506,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000214-7,What are the symptoms of Urinary Tract Infection In Adults ?,1.0,0.8,1.0,2.3175293653079345,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000214-10,How to prevent Urinary Tract Infection In Adults ?,1.0,0.8,1.0,2.4484591188793923,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000214-11,What to do for Urinary Tract Infection In Adults ?,1.0,0.8,1.0,2.5616063116448506,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000016-1,What is (are) Anemia of Inflammation and Chronic Disease ?,1.0,0.6,1.0,2.1309297535714578,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000016-3,Who is at risk for Anemia of Inflammation and Chronic Disease? ?,1.0,0.6,1.0,2.1309297535714578,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000016-5,What are the symptoms of Anemia of Inflammation and Chronic Disease ?,1.0,0.8,1.0,2.5616063116448506,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000016-6,How to diagnose Anemia of Inflammation and Chronic Disease ?,1.0,0.8,1.0,2.5616063116448506,3.5714285714285716,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0
0000016-7,What are the treatments for Anemia of Inflammation and Chronic Disease ?,1.0,0.8,1.0,2.5616063116448506,9.285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0
0000016-8,What to do for Anemia of Inflammation and Chronic Disease ?,1.0,0.8,1.0,2.5616063116448506,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000002-1,What is (are) Adrenal Insufficiency and Addison's Disease ?,1.0,0.8,1.0,2.5616063116448506,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000002-3,What are the symptoms of Adrenal Insufficiency and Addison's Disease ?,1.0,0.6,1.0,2.0177825608059994,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000002-4,What are the treatments for Adrenal Insufficiency and Addison's Disease ?,1.0,0.8,1.0,2.5616063116448506,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000002-5,What causes Adrenal Insufficiency and Addison's Disease ?,1.0,0.6,1.0,2.0177825608059994,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000002-12,How to prevent Adrenal Insufficiency and Addison's Disease ?,1.0,0.8,1.0,2.5616063116448506,7.857142857142857,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000002-14,What to do for Adrenal Insufficiency and Addison's Disease ?,1.0,0.8,1.0,2.5616063116448506,7.857142857142857,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000189-1,What is (are) Porphyria ?,0.0,0.0,0.0,0.0,4.285714285714286,0.0,0.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0
0000189-4,How many people are affected by Porphyria ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000189-5,What causes Porphyria ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000189-6,What are the symptoms of Porphyria ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000189-7,How to diagnose Porphyria ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000189-8,What are the treatments for Porphyria ?,0.0,0.0,0.0,0.0,9.285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0
0000189-9,What to do for Porphyria ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000162-3,What is (are) Nutrition for Advanced Chronic Kidney Disease in Adults ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000162-14,What to do for Nutrition for Advanced Chronic Kidney Disease in Adults ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000176-6,How to diagnose Treatment Methods for Kidney Failure: Hemodialysis ?,1.0,0.2,1.0,1.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000188-1,How to diagnose Nonalcoholic Steatohepatitis ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000188-2,What are the symptoms of Nonalcoholic Steatohepatitis ?,0.0,0.0,0.0,0.0,2.142857142857143,-1.0,0.0,-2.0,-2.0,-2.0,-1.0,0.0,1.0
0000188-3,What causes Nonalcoholic Steatohepatitis ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000188-4,What are the treatments for Nonalcoholic Steatohepatitis ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000188-5,What to do for Nonalcoholic Steatohepatitis ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000003-1,What is (are) Cushing's Syndrome ?,1.0,1.0,1.0,2.9484591188793923,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000003-2,What are the symptoms of Cushing's Syndrome ?,1.0,0.8,1.0,2.5616063116448506,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000003-6,What to do for Cushing's Syndrome ?,1.0,1.0,1.0,2.9484591188793923,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000201-1,What is (are) Hematuria (Blood in the Urine) ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000201-2,What are the symptoms of Hematuria (Blood in the Urine) ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000201-4,What causes Hematuria (Blood in the Urine) ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000201-5,Who is at risk for Hematuria (Blood in the Urine)? ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000201-7,What are the treatments for Hematuria (Blood in the Urine) ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000201-8,What to do for Hematuria (Blood in the Urine) ?,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0
0000215-1,What is (are) Urinary Tract Infections in Children ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000215-3,What causes Urinary Tract Infections in Children ?,0.0,0.0,0.0,0.0,7.142857142857143,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,1.0
0000215-4,How many people are affected by Urinary Tract Infections in Children ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000215-5,Who is at risk for Urinary Tract Infections in Children? ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000215-7,What are the symptoms of Urinary Tract Infections in Children ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000215-8,How to diagnose Urinary Tract Infections in Children ?,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0
0000215-9,What are the treatments for Urinary Tract Infections in Children ?,0.0,0.0,0.0,0.0,2.8571428571428568,0.0,0.0,-2.0,-2.0,-2.0,-1.0,0.0,1.0
0000215-13,How to prevent Urinary Tract Infections in Children ?,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,0.0,1.0
0000215-14,What to do for Urinary Tract Infections in Children ?,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0
0000211-1,What is (are) Urinary Incontinence in Men ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000211-4,What causes Urinary Incontinence in Men ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000211-6,How many people are affected by Urinary Incontinence in Men ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000211-9,How to prevent Urinary Incontinence in Men ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000211-10,What to do for Urinary Incontinence in Men ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000205-1,What causes Nerve Disease and Bladder Control ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000013-1,What is (are) Pregnancy and Thyroid Disease ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000013-6,What to do for Pregnancy and Thyroid Disease ?,0.0,0.0,0.0,0.0,9.285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0
0000007-1,What is (are) Human Growth Hormone and Creutzfeldt-Jakob Disease Resource List ?,1.0,0.2,1.0,1.0,5.7142857142857135,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,1.0
0000198-1,What is (are) Cystocele ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000198-2,What causes Cystocele ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000198-3,What are the symptoms of Cystocele ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000198-4,How to diagnose Cystocele ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000198-5,What are the treatments for Cystocele ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000198-6,What to do for Cystocele ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000167-1,What is (are) Polycystic Kidney Disease ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000167-2,What causes Polycystic Kidney Disease ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000167-4,How many people are affected by Polycystic Kidney Disease ?,0.0,0.0,0.0,0.0,7.857142857142857,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
0000167-6,What are the symptoms of Polycystic Kidney Disease ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000167-7,What are the complications of Polycystic Kidney Disease ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000167-16,How to prevent Polycystic Kidney Disease ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000167-17,What to do for Polycystic Kidney Disease ?,0.0,0.0,0.0,0.0,9.285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0
0000173-1,What is (are) Solitary Kidney ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
